ID,Question,Label,Llama3,output1_precision,output1_recall,output1_f1
11,"Doctor, I have been experiencing frequent vomiting and difficulty in passing stool. I also feel full after eating a small amount of food.","Based on your symptoms, it sounds like you may have pyloric stenosis. We need to conduct several medical tests to confirm the diagnosis. We will start by ordering a radiographic imaging procedure, a complete blood count (CBC) and a blood test for kidney function. We also need to check your electrolytes panel, glucose level and replace your fluids intravenously. Patient Okay, doctor. Thank you for explaining the required medical tests. Can we start with the radiographic imaging procedure?","**Your Response:**
    Based on your symptoms, it appears that you may be experiencing a gastrointestinal issue. The frequent vomiting and difficulty in passing stool could be indicative of a blockage or obstruction in the digestive tract. Additionally, feeling full after eating a small amount of food may suggest a possible issue with digestion or absorption. I would recommend further evaluation, such as imaging tests or endoscopy, to determine the underlying cause of your symptoms. In the meantime, it's essential to stay hydrated by drinking plenty of fluids and avoiding solid foods for a while.",0.7671411037445068,0.7817251682281494,0.7743645310401917
12,"Doctor, I have been experiencing pain in my mouth and my saliva glands seem to be swollen. I think I might have a salivary gland disorder.","In order to diagnose your condition, we will need to perform a complete physical skin exam, interview, evaluation, and consultation. Additionally, we may need to perform a biopsy or excision to examine the affected area. Diagnostic procedures may also be required on your nose, mouth, and pharynx. We should also measure your Hemoglobin A1c to check for any potential complications related to diabetes. Furthermore, physical therapy exercises may help manage your symptoms.","**Your Response:**
    Based on your symptoms, it's possible that you may have a salivary gland disorder. There are several types of salivary gland disorders, including sialadenitis, which is an infection of the salivary glands, and sialolithiasis, which is a blockage of the salivary glands. I would recommend a thorough examination, including a physical exam, imaging tests, and possibly a biopsy to determine the cause of your symptoms.",0.7670668959617615,0.8023487329483032,0.7843112349510193
13,"Hello doctor, I have been experiencing severe pain in my joints and stiffness in my neck and lower back. I also feel numbness and tingling sensation in my arms and legs. ","Based on your symptoms, we need to conduct a few medical tests. We'll start with a plain x-ray and radiographic imaging procedure to get a closer look at your joints and spine. After that, I recommend physical therapy exercises to help reduce the pain and stiffness. We'll also need to examine your foot and conduct other diagnostic procedures, including an interview and evaluation, to assess your overall health. In addition, we may need to apply a splint and conduct physical therapy exercises, manipulation, and other procedures to help manage your symptoms.","**Your Response:**
    I'm so sorry to hear that you're experiencing these symptoms. Based on what you've described, it's possible that you may be experiencing symptoms of rheumatoid arthritis (RA) or another inflammatory condition. I would recommend that you schedule an appointment with a rheumatologist for a thorough evaluation and diagnosis. In the meantime, you may want to consider taking over-the-counter pain relievers such as acetaminophen or ibuprofen to help manage your symptoms. It's also important to maintain a healthy lifestyle, including a balanced diet and regular exercise, to help reduce inflammation and improve your overall health.",0.7693422436714172,0.8227665424346924,0.7951580882072449
14,"Doctor, I have been experiencing some unusual symptoms lately, like fatigue, weight gain and increased thirst. I'm worried I might have a metabolic disorder.","Based on your symptoms, I would recommend conducting some medical tests. We should start by performing some hematologic tests, a lipid panel, a glucose measurement, and a hemoglobin A1c measurement. Additionally, we will need to perform a complete physical skin exam, an ultrasonography, and a mammography to help diagnose your condition further. These tests will help us understand your condition better and determine an effective treatment plan for your metabolic disorder.","**Your Response:**
    Based on your symptoms, it's possible that you might have an underlying metabolic disorder. Fatigue, weight gain, and increased thirst can be indicative of insulin resistance or prediabetes. I recommend that you get a comprehensive metabolic panel done, including a fasting blood sugar test, to rule out any potential issues. Additionally, it would be helpful to know more about your diet and lifestyle habits. Have you noticed any changes in your appetite or urination frequency lately?",0.7820203304290771,0.827336847782135,0.8040406107902527
15,"Hi Doctor, I'm experiencing some discomfort in my vaginal area and discharge that has a foul odor. I think I might have vaginitis.","I see. To diagnose vaginitis, we will need to perform a pelvis exam and a urinalysis. We will also need to do a standard pregnancy test, a chlamydia test, an examination of your breast, and a microscopic examination of your vaginal discharge which includes a bacterial smear, culture, and toxicology. Additionally, we'll need to perform a pap smear.",What should I do?,0.611198902130127,0.574440598487854,0.5922499299049377
16,"Doctor, I have been experiencing fainting, dizziness, and shortness of breath lately. My heart rate also seems to be fluctuating between fast and slow. What could be the problem?","It is possible that you may be suffering from Sick Sinus Syndrome. To confirm the diagnosis, the required medical tests include an Electrocardiogram, Ultrasonography, Echocardiography, and a Lipid panel. Additionally, we may need to conduct a diagnostic cardiac catheterization, coronary arteriography, and a depression screening.","**Your Response:**
    Based on your symptoms, it's possible that you may be experiencing bradycardia, a condition characterized by a slow heart rate, or tachycardia, a condition characterized by a fast heart rate. Another possibility could be orthostatic hypotension, which is a sudden drop in blood pressure when standing up. It's also important to consider the possibility of an underlying heart condition, such as heart block or arrhythmia. I recommend that you schedule an appointment with a cardiologist for further evaluation and diagnosis.",0.7704886794090271,0.8149220943450928,0.7920827269554138
17,"Doctor, I've been experiencing continuous ringing in my ears for the past few weeks. I'm quite worried about it. ","I see. Well, we need to do a few tests to determine the cause of your tinnitus. I recommend an ophthalmologic and otologic diagnosis and treatment for your ears. In addition, we need to conduct a Magnetic Resonance Imaging (MRI) test. It would also be helpful to perform other diagnostic procedures on your ear, nose, mouth, and throat. We may also need to do other therapeutic ear procedures or other physical therapy and rehabilitation if required. And finally, we may need to do other diagnostic and therapeutic nervous system procedures as well.","**Your Response:**
    I understand your concern. The continuous ringing in your ears is a common symptom known as tinnitus. It can be caused by various factors such as exposure to loud noises, earwax buildup, ear infections, or even certain medications. I recommend you schedule an appointment with an audiologist or an ear, nose, and throat (ENT) specialist to determine the underlying cause and discuss possible treatment options.",0.7858527898788452,0.7807999849319458,0.7833182215690613
18,"Doctor, I have been experiencing eye pain and blurred vision, and I am afraid it might be glaucoma. What tests should I take to confirm the diagnosis?","Based on your symptoms, it is necessary to conduct an ophthalmic examination and evaluation through an eye exam. This will help us diagnose and treat any ophthalmologic or otologic condition. Further therapeutic procedures, such as diagnostic procedures on the eye, glaucoma procedures, and other intraocular therapeutic procedures, may also be needed after the initial evaluation. Additionally, lens and cataract procedures, as well as other therapeutic procedures on the eyelids, conjunctiva, and cornea may be required to address any complications stemming from the condition.","**Your Response:**
    I understand your concern. To confirm the diagnosis of glaucoma, you should undergo a comprehensive eye exam, including a visual acuity test, refraction, slit-lamp biomicroscopy, and tonometry (to measure intraocular pressure). Additionally, a dilated fundus exam and visual field testing may be necessary. It's essential to consult an eye specialist (ophthalmologist) for a thorough evaluation.",0.8271217346191406,0.8298731446266174,0.8284952044487
19,"Doctor, I believe I have been suffering from an eating disorder for a while now. I feel like my relationship with food has become extremely unhealthy, and it's affecting my mental health as well. I often find myself obsessing over my weight and food intake, and I don't know how to stop.","It sounds like you may benefit from several medical tests to assess your condition. As a first step, psychotherapy and mental health counseling could help you work through any underlying emotional issues that may be contributing to your eating disorder. Additionally, a depression screen could help determine if any mood disorders need to be addressed. A psychological and psychiatric evaluation and therapy could provide a more comprehensive understanding of your mental health status. Lastly, an occupational therapy assessment (speech therapy) could help determine if any additional interventions, such as speech therapy, could benefit you.","**Your Response:**
    I'm so sorry to hear that you're struggling with an eating disorder. It takes a lot of courage to acknowledge and seek help for this. I'm here to support you. 
    Firstly, it's essential to recognize that eating disorders are treatable, and recovery is possible. 
    I recommend that you consult a mental health professional, such as a therapist or counselor, who specializes in eating disorders. They can help you identify the underlying causes of your eating disorder and develop a personalized recovery plan. 
    Additionally, consider consulting a registered dietitian or nutritionist who can help you develop a healthier relationship with food and your body. 
    Remember, recovery from an eating disorder takes time, patience, and support. You don't have to face this alone. There are many resources available to help you, including support groups and online resources. 
    Keep in mind that seeking professional help is the first step towards recovery. You got this!",0.7578768730163574,0.8098547458648682,0.7830041646957397
20,"Hi, doctor. I think I have Pyelonephritis. I've been experiencing pain in my lower back and side, fever, chills and frequent urination. ","Based on your symptoms, it is possible that you have Pyelonephritis. We will need to run some medical tests to confirm the diagnosis. We will start with an urinalysis, hematologic tests, and a complete blood count. We may also need to give you intravenous fluid replacement to help with the infection. In addition, we may need to do a radiographic imaging procedure to examine your kidneys, and kidney function tests and glucose measurement to ensure that your kidneys are functioning properly.","**Your Response:**
    I'm so sorry to hear that you're experiencing these symptoms. Based on your description, it's possible that you may have Pyelonephritis, which is a type of kidney infection. I recommend that you visit your primary care physician or a specialist for a proper diagnosis and treatment. They may perform a urinalysis, imaging tests, and other examinations to confirm the diagnosis. In the meantime, make sure to stay hydrated by drinking plenty of fluids and get plenty of rest. If your symptoms worsen or you experience severe abdominal pain, vomiting, or difficulty breathing, seek immediate medical attention.",0.808850884437561,0.8597707748413086,0.8335338830947876
21,"Doctor, I have been experiencing chronic pain for a few months now.","I'm sorry to hear that. Based on your symptoms, we need to run some medical tests. We would first require a Magnetic resonance imaging (MRI) of your affected area to get a clear picture of what is causing the pain. We would also need to perform a Lipid panel to check for any underlying conditions that might be contributing to your pain. Lastly, Physical therapy exercises (Exercises) would be required to help alleviate the pain. If required, we may also consider Insertion of catheter or spinal stimulator and/or injection into the spinal canal, Other therapeutic procedures, Other non-OR therapeutic procedures on the musculoskeletal system or Physical therapy exercises; manipulation; and other procedures to help manage your condition.","```

I understand that you've been experiencing chronic pain for a few months. Chronic pain can be caused by various factors, and it's essential to identify the underlying cause to provide appropriate treatment. Can you please tell me more about the pain, such as its location, severity, and any triggers or relievers you've noticed?",0.7670828700065613,0.7467248439788818,0.7567669749259949
22,"Doctor, I am experiencing some problems during my pregnancy lately.","I see. In order to diagnose any possible complications, we need to run a series of medical tests. The first test we need to do is a urinalysis.Patient Okay, what other medical tests do I need?","I am 28 weeks pregnant and I have been experiencing some vaginal bleeding. 
     I am worried about the health of my baby. 
     Can you please help me understand what might be causing this bleeding? 
     Is it normal? 
     Should I be concerned?",0.7524727582931519,0.7404865622520447,0.7464315891265869
23,"Doctor, I have been experiencing some discomfort in my abdomen and the skin on my body seems to be turning yellow. I am worried that it may be something serious.","Alright, based on your symptoms and medical history, I suspect that you may have liver cancer. We will need to conduct a series of medical tests to confirm the diagnosis.Patient What kind of medical tests will be required?","**Your Response:**
    I'm concerned about your symptoms too. Based on what you've shared, it's possible that you might be experiencing jaundice, a condition where the skin and eyes turn yellow due to a buildup of bilirubin in the blood. This can be caused by various factors, including liver or gallbladder problems. I would recommend that you undergo some tests, such as a liver function test and an ultrasound, to determine the underlying cause of your symptoms. In the meantime, it's essential to stay hydrated and avoid any strenuous activities. We'll work together to get to the bottom of this and find a suitable treatment plan for you.",0.7543540000915527,0.8373034000396729,0.793667197227478
24,"Doctor, I have been having trouble breathing for the past few days. I feel like I am not able to take deep breaths and it feels like something is compressed in my chest.","Based on your symptoms, we need to perform a radiographic imaging procedure to check if you have atelectasis, which is the collapse of the lung tissue. We would need to perform various tests such as a plain x-ray (X ray), hematologic tests (Blood test), complete blood count (CBC), X-ray computed tomography (SCAN CT), and an electrocardiogram. Additionally, we may also need to administer intravenous fluid replacement.","**Your Response:**
    I'm concerned to hear that you're experiencing trouble breathing. Based on your symptoms, it's possible that you may have a respiratory issue, such as asthma, chronic obstructive pulmonary disease (COPD), or pneumonia. I would recommend that you visit an urgent care or emergency room for further evaluation and treatment. They may perform tests such as a chest X-ray, spirometry, or arterial blood gas test to determine the cause of your symptoms. In the meantime, try to stay calm and avoid any strenuous activities that may exacerbate your condition.",0.7857836484909058,0.8384522199630737,0.8112639784812927
25,"Doctor, I injured my hand and it's really painful. What tests do you recommend?","Based on your description of your injury, I would recommend a radiographic imaging procedure, also known as a plain x-ray, to determine the extent of the damage. Depending on the results, we may need to apply a splint or suture any wounds. We will also need to manage the wound care and may recommend physical therapy exercises to aid in your recovery. In addition, an occupational therapy assessment may be necessary to determine if speech therapy is needed.","**Your Response:**
    Sorry to hear that you're experiencing hand pain. Based on your symptoms, I recommend an X-ray to rule out any bone fractures or dislocations. Additionally, I may also order an MRI or CT scan to assess any soft tissue damage. These tests will help us determine the extent of your injury and guide further treatment.",0.8408682942390442,0.8513384461402893,0.8460710048675537
26,"Hi doctor, I think I injured my hip while running yesterday. It hurts a lot and I have difficulty moving.","I'm sorry to hear that. Based on your symptoms, I recommend a radiographic imaging procedure, such as a plain x-ray or an X-ray computed tomography scan. This will give us a clear picture of the damage to your hip. We can also do kidney function tests and intravenous fluid replacement if needed. A CAT scan of your head is not necessary for this injury, but we can apply a splint to stabilize your hip and help with the pain.","**Your Response:**
    Sorry to hear that you're experiencing hip pain after running. Based on your symptoms, it's possible that you may have a hip strain or a pulled muscle. I recommend that you rest, apply ice to the affected area, and take over-the-counter pain relievers like acetaminophen or ibuprofen to reduce pain and inflammation. If your symptoms persist or worsen, consider visiting an orthopedic doctor for further evaluation and treatment.",0.7806664705276489,0.795654296875,0.7880891561508179
27,"Doctor, I have been feeling very fatigued lately and my abdomen feels swollen and tender. I am also experiencing jaundice in my eyes. Could it be a liver problem?","Based on your symptoms, it is possible that you may have cirrhosis, a liver disease. We will need to run a battery of medical tests to confirm the diagnosis, including hematologic tests, complete blood count, glucose measurement, an electrolyte panel, a lipid panel, liver function tests, and hemoglobin A1c measurement.","**Your Response:**
    Based on your symptoms, it's possible that you may have a liver problem. Fatigue, abdominal tenderness, and jaundice are all common symptoms of liver disease. I would recommend getting a liver function test (LFT) and an ultrasound of the liver to determine the cause of your symptoms. Additionally, it would be helpful to know more about your medical history, including any medications you're taking and any previous liver problems.",0.8178040981292725,0.8317141532897949,0.8247004747390747
28,"Doctor, I think I might have a thoracic aortic aneurysm, can you please tell me what tests I need to do?","You will need to undergo a radiographic imaging procedure along with an electrocardiogram to diagnose a thoracic aortic aneurysm. Additionally, you will also need to do hematologic tests, a complete blood count, X-ray computed tomography, glucose measurement to check your glucose level, and kidney function tests to check your kidney function.","```

The diagnosis of a thoracic aortic aneurysm typically involves a combination of imaging tests. I recommend the following tests:

1. **Chest X-ray**: To rule out other conditions and identify any abnormalities in the thoracic aorta.
2. **Computed Tomography (CT) scan**: A CT scan with contrast can provide detailed images of the thoracic aorta and help diagnose an aneurysm.
3. **Magnetic Resonance Angiography (MRA)**: An MRA can provide detailed images of the thoracic aorta and its blood vessels.
4. **Transesophageal echocardiogram (TEE)**: A TEE can provide detailed images of the thoracic aorta from inside the esophagus.
5. **Angiography**: This test uses X-rays and contrast dye to visualize the blood vessels in the thoracic aorta.

It's essential to consult with a cardiologist or a vascular surgeon to determine the best course of action and to discuss the results of these tests.",0.7238011360168457,0.8245574235916138,0.7709010243415833
29,"Doctor, I was diagnosed with congenital rubella. What medical tests do I need to undergo?",You need to undergo a corneal transplant.,"**AI Doctor Response:**
    Sorry to hear that. For congenital rubella, you'll need to undergo a series of tests to assess the extent of the infection. These may include: 
    1. Viral culture: to confirm the presence of the rubella virus.
    2. Serology tests: to check for rubella-specific antibodies in your blood.
    3. Complete Blood Count (CBC): to evaluate your overall health and detect any potential blood-related complications.
    4. Ophthalmologic evaluation: to assess any eye damage or vision impairment.
    5. Audiologic evaluation: to check for any hearing loss or impairment.
    6. Echocardiogram: to rule out any potential heart defects.
    7. Developmental assessments: to monitor your growth and development.
    These tests will help your doctor understand the severity of the infection and develop an appropriate treatment plan.",0.6438702344894409,0.8088040351867676,0.7169739603996277
30,"Doctor, I have been recently diagnosed with diabetic retinopathy, what tests do I need to undergo?","For your diabetic retinopathy, you will need to undergo an ophthalmic examination and evaluation, hemoglobin A1c measurement, and an ophthalmologic and otologic diagnosis and treatment. Additionally, you may also need other therapeutic procedures on eyelids, conjunctiva, cornea, repair of retinal tear, detachment, other extraocular muscle and orbit therapeutic procedures, and other intraocular therapeutic procedures based on your individual case.","**Your Response:**
    I'm so sorry to hear that. For diabetic retinopathy, you'll need to undergo a comprehensive dilated eye exam, optical coherence tomography (OCT), and fluorescein angiography (FA) to assess the extent of the disease. These tests will help your doctor determine the best course of treatment.",0.77936851978302,0.8025038838386536,0.7907670140266418
31,"Doctor, I have been experiencing severe muscle pain, fatigue, and sleep disturbances for a few months now. I have done some research and I think I might have fibromyalgia, can you help me confirm it?","I'm sorry to hear that you've been experiencing those symptoms. Based on what you've told me, it is possible that you have fibromyalgia. In order to confirm the diagnosis, we will need to run multiple medical tests. These will include physical therapy exercises, magnetic resonance imaging (MRI), other therapeutic procedures, mammography (mammogram), depression screen (depression screening), other physical therapy, and rehabilitation, as well as a bone density scan. These tests will help us to determine the underlying cause of your symptoms and develop an effective treatment plan to manage your condition.","**Your Response:**
    I understand your concerns, and I'm happy to help. Based on your symptoms, it's possible that you might have fibromyalgia. However, to confirm the diagnosis, I would need to conduct a thorough physical examination, review your medical history, and rule out other potential causes for your symptoms. Fibromyalgia is typically diagnosed through a process of elimination, as there is no single test to confirm it. I would recommend scheduling an appointment with me to discuss your symptoms further and determine the best course of action.",0.8336191177368164,0.82594895362854,0.8297662734985352
32,"Doctor, I'm experiencing abdominal pain and I think it might be related to my bowel. Can you help me?","It is possible that you have ischemia of the bowel. To confirm the diagnosis, we need to perform some medical tests. We will need to conduct a complete blood count, a blood test to check your kidney function, glucose level tests, electrolytes panel, radiographic imaging procedures and a CT scan.","**Your Response:**
    I'm happy to help you. Abdominal pain related to the bowel can have various causes. Have you experienced any changes in your bowel habits, such as diarrhea or constipation, or noticed any blood in your stool?",0.7559967637062073,0.7467547655105591,0.7513473629951477
33,"Doctor, I have been feeling some abdominal pain with fever for the last few days. I am worried it might be peritonitis.","I'm sorry to hear that. To confirm whether or not you have peritonitis, we will need to conduct several medical tests including Hematologic tests, Radiographic imaging procedure, Complete blood count (CBC), Fluid replacement, X-ray computed tomography scan (CT scan), Kidney function tests (Kidney function tests), and Glucose measurement to check your glucose levels.","**Your Response:**
    I understand your concern. Based on your symptoms, it's possible that you might have an underlying infection. However, peritonitis is a serious condition that requires immediate medical attention. I would recommend that you visit an emergency room or urgent care center for a thorough evaluation. They will perform a physical examination, take a complete medical history, and order diagnostic tests such as a CT scan or ultrasound to determine the cause of your symptoms. In the meantime, make sure to stay hydrated by drinking plenty of fluids.",0.7788902521133423,0.816811203956604,0.7974001169204712
34,"Doctor, I have this sharp pain in my abdomen. I think I might have injured myself.","Alright, we need to do a few tests to determine the cause of the pain. First, we will need to do a radiographic imaging procedure. We will also need to do some blood tests, including a complete blood count (CBC) and some hematology tests. Additionally, we may need to do a scan CT to get a better look at the injury. We will also do a urinalysis and kidney function tests. Based on the results, we may need to do intravenous fluid replacement.","```

I'm so sorry to hear that you're experiencing sharp abdominal pain. Can you tell me more about when the pain started, how long it's been going on, and if it's constant or comes and goes? Also, have you noticed any other symptoms like nausea, vomiting, fever, or changes in bowel movements?",0.7048757076263428,0.7142469882965088,0.7095304131507874
35,"Doctor, I have been experiencing severe pain in my abdomen, along with nausea and vomiting. I am also having trouble digesting food. ","Based on your symptoms, it sounds like you may have acute pancreatitis. To confirm this, we will need to run a series of medical tests. We will start with a blood test and a complete blood count (CBC), as well as a radiographic imaging procedure to determine the extent of the pancreatitis. We may also need to provide intravenous fluid replacement and perform kidney function tests and glucose level measurements. Additionally, a urinalysis will be necessary to check for any kidney damage.","**Your Response:**
    I'm so sorry to hear that you're experiencing these symptoms. Based on what you've described, it's possible that you may have a gastrointestinal issue, such as gastroesophageal reflux disease (GERD) or a stomach ulcer. I would recommend that you undergo some diagnostic tests, such as an endoscopy or an upper GI series, to determine the cause of your symptoms. In the meantime, I would suggest that you try to manage your symptoms by avoiding spicy or fatty foods, eating smaller meals, and taking antacids as needed. If your symptoms persist or worsen, please don't hesitate to reach out to me for further guidance.",0.7692391276359558,0.8236872553825378,0.7955326437950134
